modele_id;texte_id;texte
FRAC_ADD_001;enonce_erreur;"%s affirme que %d/%d + %d/%d = %s en additionnant numérateurs et dénominateurs. Que faut-il lui répondre ?"
FRAC_ADD_001;feedback_methode;"Ici la somme correcte vaut %s : la méthode de %s n'est donc pas valide."
FRAC_ADD_001;rappel;"Pour additionner deux fractions, on les écrit avec un dénominateur commun puis on simplifie le résultat."
FRAC_ADD_001;reponse;"Il faut d’abord utiliser un dénominateur commun."
FRAC_ADD_001;correction_intro;"Pour additionner ces fractions, on cherche un [[dénominateur commun]]."
FRAC_ADD_001;proposition_denominateurs;"Il faut seulement additionner les dénominateurs."
FRAC_ADD_001;proposition_multiplier;"Il faut multiplier les deux fractions entre elles."
FRAC_ADD_001;proposition_methode;"La méthode de %s est correcte pour toutes les fractions."
FRAC_ADD_001;feedback_denominateurs;"Additionner seulement les dénominateurs ne donne pas une somme de fractions correcte."
FRAC_ADD_001;feedback_multiplier;"Une addition de fractions ne se transforme pas en produit des deux fractions."
FRAC_MULT_001;enonce;"Quelle écriture permet de calculer (%d/%d) x (%d/%d) ?"
FRAC_MULT_001;correction_intro;"On multiplie les numérateurs et les dénominateurs."
FRAC_MULT_001;feedback_addition;"Pour un produit de fractions, on multiplie les numérateurs et les dénominateurs ; on ne les additionne pas."
FRAC_MULT_001;feedback_croisement;"Cette écriture croise numérateurs et dénominateurs ; ce n'est pas la règle du produit de fractions."
FRAC_MULT_001;feedback_numerateur;"Le numérateur doit lui aussi être obtenu par une multiplication."
FRAC_MULT_001;rappel;"Pour multiplier deux fractions, on multiplie les numérateurs entre eux et les dénominateurs entre eux, puis on simplifie."
FRAC_DIV_001;enonce;"Quelle multiplication est équivalente à (%d/%d) ÷ (%d/%d) ?"
FRAC_DIV_001;correction_intro;"Diviser par %d/%d revient à multiplier par son [[inverse]], %d/%d."
FRAC_DIV_001;correction_suite;"Cela revient à calculer"
FRAC_DIV_001;feedback_inverser;"Il faut inverser la seconde fraction : %d/%d devient %d/%d."
FRAC_DIV_001;feedback_premiere;"On conserve la première fraction %d/%d et on inverse seulement la seconde."
FRAC_DIV_001;feedback_seconde;"Seule la fraction par laquelle on divise, %d/%d, doit être inversée."
FRAC_DIV_001;rappel;"Diviser par une fraction non nulle revient à multiplier par son inverse, puis à simplifier."
FRAC_QTE_001;enonce;"Une boîte contient %d objets. On en utilise %d/%d. Combien d’objets sont utilisés ?"
FRAC_QTE_001;correction;"%d/%d de %d = %d × %d / %d = %d."
FRAC_QTE_001;feedback_faux;"%d/%d de %d vaut %s, pas %s."
FRAC_QTE_001;rappel;"Prendre une fraction d'une quantité revient à multiplier la quantité par le numérateur puis à diviser par le dénominateur."
FRAC_QUOT_001;enonce_fraction_vers_quotient;"Quel quotient est exactement égal à %d/%d ?"
FRAC_QUOT_001;enonce_quotient_vers_fraction;"Quelle fraction représente exactement le quotient %d / %d ?"
FRAC_QUOT_001;correction;"Par definition, %d/%d est le quotient exact de %d par %d."
FRAC_QUOT_001;feedback_inverse;"Cette proposition inverse le rôle du numérateur et du dénominateur."
FRAC_QUOT_001;feedback_pas_quotient;"Cette proposition ne traduit pas le quotient demande."
