modele_id;texte_id;texte
DATA_FILTER_001;intention;"filtrer des données"
DATA_FILTER_001;notion;"Tableaux de données"
DATA_FILTER_001;definition;"Filtrer des données consiste à ne conserver que les observations qui respectent un critère."
DATA_FILTER_001;rappel;"Teste le critère sur chaque valeur, une par une."
DATA_FILTER_001;enonce;"Voici des valeurs : %s. Combien sont supérieures ou égales à %d ?"
DATA_FILTER_001;correction;"Dans %s, le nombre de valeurs supérieures ou égales à %d est %g."
DATA_FILTER_001;feedback_faux;"Applique le critère à chaque valeur sans en oublier."
PROBA_SIMPLE_001;intention;"calculer une probabilité"
PROBA_SIMPLE_001;notion;"Probabilité"
PROBA_SIMPLE_001;definition;"En situation d'équiprobabilité, une probabilité est le nombre d'issues favorables divisé par le nombre total d'issues."
PROBA_SIMPLE_001;rappel;"La probabilité est comprise entre 0 et 1."
PROBA_SIMPLE_001;enonce;"Une expérience a %d issues favorables parmi %d issues équiprobables. Quelle est la probabilité, arrondie au millième ?"
PROBA_SIMPLE_001;correction;"Avec %d issues favorables parmi %d, la probabilité vaut %g."
PROBA_SIMPLE_001;feedback_faux;"Divise le nombre d'issues favorables par le nombre total d'issues."
FREQ_SIMPLE_001;intention;"calculer une fréquence"
FREQ_SIMPLE_001;notion;"Fréquence"
FREQ_SIMPLE_001;definition;"La fréquence d'un résultat est le nombre de fois où il apparaît divisé par le nombre total d'essais."
FREQ_SIMPLE_001;rappel;"Une fréquence peut s'écrire comme fraction, nombre décimal ou pourcentage."
FREQ_SIMPLE_001;enonce;"Un résultat apparaît %d fois au cours de %d essais. Quelle est sa fréquence, arrondie au millième ?"
FREQ_SIMPLE_001;correction;"%d apparitions sur %d essais donnent une fréquence de %g."
FREQ_SIMPLE_001;feedback_faux;"Divise l'effectif observé par le nombre total d'essais."
ECHELLE_001;intention;"utiliser une échelle"
ECHELLE_001;notion;"Échelle"
ECHELLE_001;definition;"Une échelle 1:n signifie qu'une unité sur la représentation correspond à n unités dans la réalité."
ECHELLE_001;rappel;"Commence par conserver les mêmes unités avant de convertir si nécessaire."
ECHELLE_001;enonce;"Sur un plan à l'échelle 1:%d, une longueur mesure %d cm. Quelle longueur réelle cela représente-t-il en mètres ?"
ECHELLE_001;correction;"À l'échelle 1:%d, %d cm sur le plan représentent %g m dans la réalité."
ECHELLE_001;feedback_faux;"Applique d'abord le facteur d'échelle, puis convertis les centimètres en mètres."
