modele_id;texte_id;texte
INCONNUE_001;intention;"trouver l'inconnue"
INCONNUE_001;notion;"Nombre inconnu"
INCONNUE_001;definition;"Un nombre inconnu est une valeur que l'on cherche à partir des informations connues."
INCONNUE_001;rappel;"On peut remonter une opération en utilisant l'opération inverse."
INCONNUE_001;enonce;"Je pense à un nombre. Je lui ajoute %d et j'obtiens %d. Quel est ce nombre ?"
INCONNUE_001;correction;"Pour annuler l'ajout de %d, je pars de %d et je soustrais : le nombre est %g."
INCONNUE_001;feedback_faux;"Cherche l'opération qui annule l'addition donnée dans l'énoncé."
REG_SUITE_001;intention;"poursuivre une régularité"
REG_SUITE_001;notion;"Régularités"
REG_SUITE_001;definition;"Une suite régulière est construite en répétant une même règle."
REG_SUITE_001;rappel;"Observe l'écart entre deux termes consécutifs avant de poursuivre la suite."
REG_SUITE_001;enonce;"Complète la suite : %d ; %d ; %d ; %d ; ?"
REG_SUITE_001;correction;"Les termes %d, %d, %d et %d suivent la même règle. Le terme suivant est %g."
REG_SUITE_001;feedback_faux;"Compare les écarts entre les termes consécutifs."
