modele_id;texte_id;texte
OH_WAIT_EULER;notion;Vérifier, conjecturer, réfuter
OH_WAIT_EULER;rappel_1;Vérifier beaucoup de cas peut faire naître une conjecture.
OH_WAIT_EULER;rappel_2;Cela ne remplace pas une démonstration.
OH_WAIT_EULER;observer_enonce_1;On calcule f(n) = n^2 + n + 41. Pour n = 0, 1, 2 et 3, on obtient
OH_WAIT_EULER;observer_enonce_2;, qui sont premiers. Qu'est-il raisonnable de faire ensuite ?
OH_WAIT_EULER;observer_reponse;Tester d'autres valeurs et chercher si le motif continue
OH_WAIT_EULER;observer_p2;Annoncer que f(n) est premier pour tout entier naturel n
OH_WAIT_EULER;observer_p3;Conclure que quatre exemples constituent une démonstration
OH_WAIT_EULER;observer_p4;Arrêter : les quatre calculs suffisent à traiter tous les entiers
OH_WAIT_EULER;observer_f1;Les premiers calculs suggèrent un motif : on peut poursuivre l'exploration avant de formuler ou tester une conjecture.
OH_WAIT_EULER;observer_f2;Les quatre valeurs calculées ne couvrent pas tous les entiers naturels.
OH_WAIT_EULER;observer_f3;"Quatre exemples favorables restent quatre cas particuliers ; ils ne constituent pas une démonstration générale."
OH_WAIT_EULER;observer_f4;Il existe une infinité d'entiers naturels : quatre calculs ne traitent pas les cas non observés.
OH_WAIT_EULER;conjecture_enonce;On poursuit les calculs : f(n) est premier pour chaque entier n de 0 à 39. Que sait-on alors ?
OH_WAIT_EULER;conjecture_reponse;"La propriété est vérifiée de 0 à 39 ; on peut conjecturer qu'elle continue"
OH_WAIT_EULER;conjecture_p2;La propriété est démontrée pour tout entier naturel
OH_WAIT_EULER;conjecture_p3;La propriété est vraie pour tous les entiers parce que 40 essais ont réussi
OH_WAIT_EULER;conjecture_p4;Il ne peut plus exister de contre-exemple après 39
OH_WAIT_EULER;conjecture_f1;Les quarante cas sont vérifiés, mais les entiers au-delà de 39 n'ont pas été traités : la généralisation reste une conjecture.
OH_WAIT_EULER;conjecture_f2;Une vérification finie, même longue, ne demontre pas une affirmation portant sur tous les entiers naturels.
OH_WAIT_EULER;conjecture_f3;Le nombre de succès ne transforme pas les cas non testés en cas démontrés.
OH_WAIT_EULER;conjecture_f4;Les calculs jusqu'à 39 ne donnent aucune garantie logique sur les valeurs suivantes.
OH_WAIT_EULER;contre_enonce_1;OH WAIT... calculons f(40). On obtient
OH_WAIT_EULER;contre_enonce_2;. Quelle observation suffit à casser la conjecture selon laquelle f(n) serait toujours premier ?
OH_WAIT_EULER;contre_reponse;1681 = 41 × 41, donc f(40) n'est pas premier
OH_WAIT_EULER;contre_p2;1681 est plus grand que les valeurs précédentes
OH_WAIT_EULER;contre_p3;40 est un entier pair
OH_WAIT_EULER;contre_p4;41 est lui-même un nombre premier
OH_WAIT_EULER;contre_f1;Comme 1681 se factorise en 41 × 41, f(40) n'est pas premier : n = 40 est un contre-exemple.
OH_WAIT_EULER;contre_f2;Être plus grand que les valeurs précédentes n'empêche pas un nombre d'être premier.
OH_WAIT_EULER;contre_f3;La parité de n ne suffit pas a montrer que la valeur f(n) est composée.
OH_WAIT_EULER;contre_f4;"Le fait que 41 soit premier n'implique pas que 41 × 41 le soit ; ce produit est composé."
OH_WAIT_EULER;bilan_enonce;Que nous apprend cette expérience sur une affirmation qui prétend être vraie pour tout entier naturel ?
OH_WAIT_EULER;bilan_reponse;"Des exemples favorables peuvent suggérer une conjecture ; un seul contre-exemple suffit à la réfuter"
OH_WAIT_EULER;bilan_p2;Quarante exemples favorables valent toujours une démonstration
OH_WAIT_EULER;bilan_p3;Une conjecture devient vraie dès qu'elle résiste assez longtemps
OH_WAIT_EULER;bilan_p4;Un contre-exemple compte moins que plusieurs exemples favorables
OH_WAIT_EULER;bilan_f1;"Les cas de 0 à 39 ont rendu la conjecture plausible ; le seul cas n = 40 suffit pourtant a montrer qu'elle n'est pas vraie pour tout n."
OH_WAIT_EULER;bilan_f2;Les quarante exemples établissent quarante cas, pas tous les entiers naturels.
OH_WAIT_EULER;bilan_f3;Résister à des essais ne suffit pas a rendre universelle une affirmation non démontrée.
OH_WAIT_EULER;bilan_f4;Pour une affirmation universelle, un seul cas qui satisfait les conditions mais pas la propriété suffit à la réfuter.
OH_WAIT_EULER;conjecture_intention;distinguer-vérification-preuve
