"bloc_id";"fiche_id";"ordre";"type";"titre";"contenu";"formule";"illustration_id"
"B_LOG_01";"REV_2GT_LOGIQUE";"10";"REPERE";"Ensembles";"Les ensembles usuels de nombres sont emboîtés. Un nombre appartient à un ensemble ; un ensemble est inclus dans un autre. Chercher le plus petit ensemble qui contient le nombre aide à le classer.";"\mathbb{N} \subset \mathbb{Z} \subset \mathbb{D} \subset \mathbb{Q} \subset \mathbb{R}";"ensembles_nombres"
"B_LOG_02";"REV_2GT_LOGIQUE";"20";"FORMULE";"Intervalles";"Crochets fermés si la borne appartient à l'intervalle et ouverts sinon.";"x \in [a,b] \Longleftrightarrow a \le x \le b";""
"B_LOG_03";"REV_2GT_LOGIQUE";"30";"METHODE";"Négation";"Pour nier une proposition avec « et » ou « ou » penser à inverser le connecteur et à nier chacune des conditions.";"";""
"B_LOG_04";"REV_2GT_LOGIQUE";"40";"VIGILANCE";"Implication et réciproque";"P implique Q ne signifie pas automatiquement que Q implique P. Une équivalence nécessite les deux implications.";"";""
"B_ALGO_01";"REV_2GT_ALGORITHMIQUE";"10";"REPERE";"Variables";"Une variable peut notamment être entière flottante booléenne ou chaîne. Une affectation remplace sa valeur précédente.";"";""
"B_ALGO_02";"REV_2GT_ALGORITHMIQUE";"20";"METHODE";"Condition";"Une condition exécute un bloc seulement si un test logique est vérifié. Toujours identifier le test puis les deux branches éventuelles.";"";""
"B_ALGO_03";"REV_2GT_ALGORITHMIQUE";"30";"METHODE";"Boucles";"Boucle bornée : nombre d'itérations connu. Boucle non bornée : répétition jusqu'à satisfaction d'une condition.";"";""
"B_ALGO_04";"REV_2GT_ALGORITHMIQUE";"40";"REPERE";"Fonction";"Une fonction informatique reçoit des arguments et renvoie un résultat. Distinguer paramètres entrée calcul et valeur retournée.";"";""
"B_NA_01";"REV_2GT_NOMBRES_ALGEBRE";"10";"FORMULE";"Identités remarquables";"À reconnaître dans les deux sens pour développer ou factoriser.";"(a+b)^2=a^2+2ab+b^2 \quad (a-b)^2=a^2-2ab+b^2 \quad (a-b)(a+b)=a^2-b^2";"identite_carree"
"B_NA_02";"REV_2GT_NOMBRES_ALGEBRE";"20";"METHODE";"Équation du premier degré";"Regrouper les termes en x d'un côté et les constantes de l'autre puis diviser par le coefficient de x. Vérifier la solution si nécessaire.";"ax+b=c \Rightarrow x=\frac{c-b}{a} \quad (a\ne0)";""
"B_NA_03";"REV_2GT_NOMBRES_ALGEBRE";"30";"VIGILANCE";"Inéquations";"Lorsque l'on multiplie ou divise les deux membres par un nombre négatif le sens de l'inégalité s'inverse.";"";""
"B_NA_04";"REV_2GT_NOMBRES_ALGEBRE";"40";"REPERE";"Fractions";"Pour additionner des fractions on utilise un dénominateur commun. Pour multiplier on multiplie numérateurs entre eux et dénominateurs entre eux.";"\frac{a}{b}+\frac{c}{d}=\frac{ad+bc}{bd} \quad \frac{a}{b}\times\frac{c}{d}=\frac{ac}{bd}";""
