modele_id;texte_id;texte
QUAD_RECT_001;notion;"Quadrilatères : raisonner avec les propriétés"
QUAD_RECT_001;rappel;"Le dessin suggère. Le codage donne. Les propriétés permettent de déduire."
QUAD_RECT_001;enonce;"ABCD est un parallélogramme. Le codage indique que l'angle DAB est droit. Que peux-tu en déduire ?"
QUAD_RECT_001;reponse;"ABCD est un rectangle"
QUAD_RECT_001;proposition_2;"ABCD est un losange"
QUAD_RECT_001;proposition_3;"ABCD est forcément un carré"
QUAD_RECT_001;proposition_4;"On ne peut rien déduire"
QUAD_RECT_001;feedback_1;"Un parallélogramme qui possède un angle droit est un rectangle. Le dessin n'a pas besoin de ressembler à un rectangle."
QUAD_RECT_001;feedback_2;"Un angle droit ne suffit pas à montrer que les quatre côtés ont la même longueur."
QUAD_RECT_001;feedback_3;"Pour conclure carré, il manque encore une propriété de losange."
QUAD_RECT_001;feedback_4;"Le codage de l'angle droit apporte justement l'information qui permet de conclure."
QUAD_RECT_001;figure_alt;"Parallélogramme ABCD dessiné à main levée, avec angle droit codé en A"
QUAD_LOS_001;notion;"Quadrilatères : raisonner avec les propriétés"
QUAD_LOS_001;rappel;"Le dessin suggère. Le codage donne. Les propriétés permettent de déduire."
QUAD_LOS_001;enonce;"ABCD est un parallélogramme. Les quatre côtés portent le même codage de longueur. Que peux-tu en déduire ?"
QUAD_LOS_001;reponse;"ABCD est un losange"
QUAD_LOS_001;proposition_2;"ABCD est un rectangle"
QUAD_LOS_001;proposition_3;"ABCD est forcément un carré"
QUAD_LOS_001;proposition_4;"On ne peut rien déduire"
QUAD_LOS_001;feedback_1;"Un parallélogramme dont les quatre côtés ont la même longueur est un losange."
QUAD_LOS_001;feedback_2;"Des côtés de même longueur ne donnent pas, à eux seuls, un angle droit."
QUAD_LOS_001;feedback_3;"Pour conclure carré, il manque encore une propriété de rectangle."
QUAD_LOS_001;feedback_4;"Le codage des quatre longueurs apporte une information suffisante pour conclure losange."
QUAD_LOS_001;figure_alt;"Parallélogramme ABCD dessiné à main levée, avec quatre côtés codés de même longueur"
QUAD_CARRE_001;notion;"Quadrilatères : raisonner avec les propriétés"
QUAD_CARRE_001;rappel;"Le dessin suggère. Le codage donne. Les propriétés permettent de déduire."
QUAD_CARRE_001;enonce;"ABCD est un parallélogramme. Un angle droit est codé et les quatre côtés portent le même codage de longueur. Quelle conclusion est la plus précise ?"
QUAD_CARRE_001;reponse;"ABCD est un carré"
QUAD_CARRE_001;proposition_2;"ABCD est seulement un rectangle"
QUAD_CARRE_001;proposition_3;"ABCD est seulement un losange"
QUAD_CARRE_001;proposition_4;"Le dessin est trop irrégulier pour conclure"
QUAD_CARRE_001;feedback_1;"L'angle droit permet de conclure rectangle ; les quatre côtés égaux permettent de conclure losange. ABCD est donc à la fois rectangle et losange : c'est un carré."
QUAD_CARRE_001;feedback_2;"C'est bien un rectangle, mais le codage des longueurs permet d'aller plus loin."
QUAD_CARRE_001;feedback_3;"C'est bien un losange, mais le codage de l'angle droit permet d'aller plus loin."
QUAD_CARRE_001;feedback_4;"L'apparence du dessin ne décide pas : les informations codées et les propriétés permettent de conclure."
QUAD_CARRE_001;figure_alt;"Parallélogramme ABCD volontairement mal dessiné, avec angle droit et quatre côtés de même longueur codés"
QUAD_JUST_001;notion;"Quadrilatères : raisonner avec les propriétés"
QUAD_JUST_001;rappel;"Le dessin suggère. Le codage donne. Les propriétés permettent de déduire."
QUAD_JUST_001;enonce;"Le quadrilatère dessiné ne ressemble franchement pas à un carré. Pourtant les codages permettent de montrer qu'il en est un. Pourquoi peut-on faire confiance à cette conclusion ?"
QUAD_JUST_001;reponse;"Parce que les codages et les propriétés priment sur l'apparence du dessin"
QUAD_JUST_001;proposition_2;"Parce qu'un dessin de géométrie est toujours à l'échelle"
QUAD_JUST_001;proposition_3;"Parce que tout parallélogramme est un carré"
QUAD_JUST_001;proposition_4;"Parce qu'il suffit qu'une figure ressemble à peu près à un carré"
QUAD_JUST_001;feedback_1;"Exactement : le dessin aide à se repérer, mais la démonstration s'appuie sur les données, les codages et les propriétés."
