concept_id;libelle;definition;domaine;statut;niveau_introduction;programme_id
MATC_SUITE;Suite numérique;Objet décrivant une évolution discrète indexée par les entiers.;ALGEBRE;structurant;1G;PRG_MAT_SPEC_1G_2026
MATC_SUITE_ARITH;Suite arithmétique;Suite dont les accroissements successifs sont constants.;ALGEBRE;structurant;1G;PRG_MAT_SPEC_1G_2026
MATC_SUITE_GEOM;Suite géométrique;Suite dont le quotient de deux termes successifs est constant.;ALGEBRE;structurant;1G;PRG_MAT_SPEC_1G_2026
MATC_LIMITE_SUITE_INTUITIVE;Limite intuitive d’une suite;Comportement asymptotique conjecturé à partir de valeurs ou de représentations.;ALGEBRE;introduction;1G;PRG_MAT_SPEC_1G_2026
MATC_SECOND_DEGRE;Fonction polynôme du second degré;Fonction de la forme ax²+bx+c avec a non nul.;ALGEBRE;structurant;1G;PRG_MAT_SPEC_1G_2026
MATC_FORME_CANONIQUE;Forme canonique;Écriture a(x-alpha)²+beta d’une fonction polynôme du second degré.;ALGEBRE;structurant;1G;PRG_MAT_SPEC_1G_2026
MATC_DISCRIMINANT;Discriminant;Quantité b²-4ac qui organise l’étude des racines d’un trinôme.;ALGEBRE;structurant;1G;PRG_MAT_SPEC_1G_2026
MATC_TAUX_VARIATION;Taux de variation;Variation moyenne d’une fonction entre deux abscisses.;ANALYSE;fondamental;1G;PRG_MAT_SPEC_1G_2026
MATC_NOMBRE_DERIVE;Nombre dérivé;Limite intuitive du taux de variation en un point, lorsqu’elle existe.;ANALYSE;structurant;1G;PRG_MAT_SPEC_1G_2026
MATC_TANGENTE;Tangente;Droite limite des sécantes en un point d’une courbe dérivable.;ANALYSE;structurant;1G;PRG_MAT_SPEC_1G_2026
MATC_APPROX_LINEAIRE;Approximation linéaire;Approximation locale d’une fonction par sa fonction affine tangente.;ANALYSE;approfondissement;1G;PRG_MAT_SPEC_1G_2026
MATC_FONCTION_DERIVEE;Fonction dérivée;Fonction associant à chaque abscisse le nombre dérivé correspondant.;ANALYSE;structurant;1G;PRG_MAT_SPEC_1G_2026
MATC_VARIATIONS_DERIVEE;Variations et signe de la dérivée;Lien entre le signe de la dérivée et les variations de la fonction.;ANALYSE;structurant;1G;PRG_MAT_SPEC_1G_2026
MATC_EXPONENTIELLE;Fonction exponentielle;Fonction dérivable vérifiant f’=f et f(0)=1.;ANALYSE;structurant;1G;PRG_MAT_SPEC_1G_2026
MATC_CERCLE_TRIGO;Cercle trigonométrique;Cercle unité orienté permettant de représenter les nombres réels et les angles.;ANALYSE;structurant;1G;PRG_MAT_SPEC_1G_2026
MATC_SINUS_COSINUS;Sinus et cosinus;Coordonnées du point associé à un réel sur le cercle trigonométrique.;ANALYSE;structurant;1G;PRG_MAT_SPEC_1G_2026
MATC_PRODUIT_SCALAIRE;Produit scalaire;Opération sur deux vecteurs reliant calcul vectoriel, longueurs, angles et orthogonalité.;GEOMETRIE;structurant;1G;PRG_MAT_SPEC_1G_2026
MATC_ORTHOGONALITE;Orthogonalité;Relation géométrique caractérisable par un produit scalaire nul.;GEOMETRIE;structurant;1G;PRG_MAT_SPEC_1G_2026
MATC_VECTEUR_NORMAL;Vecteur normal à une droite;Vecteur orthogonal à tout vecteur directeur d’une droite.;GEOMETRIE;structurant;1G;PRG_MAT_SPEC_1G_2026
MATC_PROJECTION_ORTHO;Projection orthogonale;Projection d’un point sur une droite suivant une direction perpendiculaire.;GEOMETRIE;structurant;1G;PRG_MAT_SPEC_1G_2026
MATC_EQUATION_CERCLE;Équation de cercle;Équation cartésienne décrivant un cercle dans un repère orthonormé.;GEOMETRIE;structurant;1G;PRG_MAT_SPEC_1G_2026
